rebalance_date,selected_sectors,ml_portfolio_excess_return,equal_weight_excess_return,ml_cumulative_excess_return,equal_weight_cumulative_excess_return,feature_set
2023-11-30,"Consumer Discretionary, Real Estate, Technology",0.013680944728542933,0.00472406821782618,0.013680944728542865,0.004724068217826227,market_fundamental
2023-12-29,"Technology, Real Estate, Industrials",-0.026197102447903065,-0.02354084652047199,-0.012874558829997995,-0.018927986867513846,market_fundamental
2024-01-31,"Technology, Industrials, Financials",-0.0013692540057384333,-0.01364589407888915,-0.0142261842944863,-0.03231559164248232,market_fundamental
2024-02-29,"Industrials, Real Estate, Financials",-0.006213827556739431,0.002823165148646671,-0.020351612795229346,-0.029583658745918506,market_fundamental
2024-03-28,"Technology, Financials, Industrials",-0.004585107903404767,0.0030252920710876013,-0.024843406357959674,-0.026647865883068667,market_fundamental
2024-04-30,"Utilities, Technology, Consumer Discretionary",0.004310624083004466,-0.021204785686158693,-0.020639872860705788,-0.04728758928418342,market_fundamental
2024-05-31,"Materials, Technology, Energy",-0.03452511094350253,-0.04138722629921307,-0.05445238990383261,-0.08671771342454782,market_fundamental
2024-06-28,"Healthcare, Industrials, Financials",0.048954458548877165,0.03144245692183857,-0.008163618619389856,-0.05800187447142091,market_fundamental
2024-07-31,"Real Estate, Financials, Technology",0.011903461205237898,0.006330937093289489,0.0036426672683178563,-0.05203814359670278,market_fundamental
2024-08-30,"Energy, Consumer Staples, Financials",-0.018129857296169366,0.00624741571418909,-0.014553231065603467,-0.04611583179855683,market_fundamental
2024-09-30,"Energy, Materials, Consumer Discretionary",-0.021823322104962198,-0.01985882947149179,-0.036058953321353004,-0.06505885483042506,market_fundamental
2024-10-31,"Utilities, Consumer Staples, Healthcare",-0.043243527110397396,-0.00911696111643143,-0.07774316410622584,-0.07358267689708797,market_fundamental
2024-11-29,"Healthcare, Technology, Consumer Staples",-0.015107813367570333,-0.038743344183751575,-0.09167644825987498,-0.10947518210385387,market_fundamental
2024-12-31,"Technology, Consumer Staples, Real Estate",-0.018399145608746035,0.01186925606407065,-0.10838882554819484,-0.0989053150088346,market_fundamental
2025-01-31,"Financials, Consumer Staples, Technology",0.02682590390038463,0.02285167771234395,-0.08447054986584168,-0.0783137896791104,market_fundamental
2025-02-28,"Materials, Energy, Consumer Discretionary",0.0285307891992386,0.025560461994759552,-0.058349772118369225,-0.05475506432910926,market_fundamental
2025-03-31,"Industrials, Financials, Technology",0.007659092240193534,-0.012872027256343491,-0.05113758616502451,-0.06692228290498559,market_fundamental
2025-04-30,"Financials, Real Estate, Consumer Staples",-0.04026126437418726,-0.026418522020592812,-0.089339986663164,-0.09157281712098464,market_fundamental
2025-05-30,"Utilities, Healthcare, Consumer Discretionary",-0.03068476536230443,-0.01905775583235873,-0.11728337549723789,-0.10888540056377038,market_fundamental
2025-06-30,"Consumer Staples, Materials, Real Estate",-0.019119272022544466,-0.006378574291704091,-0.13416027475992842,-0.1145694412386965,market_fundamental
2025-07-31,"Consumer Staples, Healthcare, Energy",0.013702765646800933,0.003170232968611139,-0.1222958759172732,-0.11176242008989556,market_fundamental
2025-08-29,"Consumer Staples, Industrials, Consumer Discretionary",-0.026470444319894097,-0.023473802783360427,-0.1455290940631464,-0.13261273386547467,market_fundamental
2025-09-30,"Consumer Staples, Energy, Technology",-0.018077054603930533,-0.029954479190370142,-0.1609754112872369,-0.1585948676788933,market_fundamental
2025-10-31,"Consumer Staples, Materials, Financials",0.025154955176402868,0.009507942374584447,-0.1398697853662676,-0.15059483616710456,market_fundamental
2025-11-28,"Consumer Discretionary, Healthcare, Materials",0.004223599705580601,-0.00518830690583591,-0.13623693964497963,-0.1550018108444715,market_fundamental
2025-12-31,"Technology, Energy, Utilities",0.022469903232200734,0.022034471964309747,-0.1168282672632528,-0.1363827219356315,market_fundamental
2026-01-30,"Consumer Discretionary, Industrials, Financials",0.004326081533765032,0.045441942906643336,-0.113007594339117,-0.09713827489263982,market_fundamental
2026-02-27,"Technology, Utilities, Real Estate",0.011457513534420235,0.014873158098531703,-0.10284486684632954,-0.08370986971400496,market_fundamental
2026-03-31,"Healthcare, Real Estate, Energy",-0.08607750388653777,-0.04927545544134573,-0.1800697413071919,-0.12886048320025734,market_fundamental
2026-04-30,"Industrials, Energy, Healthcare",-0.06856272032039311,-0.05247999705862656,-0.2362863903161745,-0.17457788247956119,market_fundamental
2026-05-27,"Utilities, Healthcare, Materials",0.06504750551855916,0.03596664174480846,-0.18660872507566717,-0.14489022089046233,market_fundamental
