strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,number_of_rebalances,turnover
Monthly top sectors,1.5794741294118242,0.12715303679506307,0.15966824703294383,0.7963576926402154,-0.16189985649350502,0.6210526315789474,95,0.421985815602837
Equal-weight sectors,1.4997324645888939,0.12269098520371458,0.16078353480429533,0.7630817754632229,-0.23166805129326884,0.6526315789473685,95,
SPY benchmark,1.9480886681032903,0.14633191611280982,0.16806331439005162,0.8706951701142449,-0.23927170365660055,0.6631578947368421,95,
