task,model,accuracy,precision,recall,f1,roc_auc,mae,rmse,r2,directional_accuracy
classification,LogisticRegression,0.5689927376065678,0.4943820224719101,0.016123122022718945,0.031227821149751596,0.44832819935261525,,,,
classification,RandomForestClassifier,0.5233659614777392,0.4366812227074236,0.36643459142543056,0.3984857541342897,0.5156548887507629,,,,
regression,Ridge,,,,,,0.03354912840959996,0.043782220650790044,-0.011812643099989861,0.529207451847174
regression,RandomForestRegressor,,,,,,0.034979154055964315,0.046643427358482016,-0.14837952550326983,0.5328386485633091
